Student_ID,Skill_Name,Skill_Score,Assessment_Score,Course_Completion_Percentage,Learning_Hours,Assignment_Completion_Rate,Login_Frequency,Skill_Category,Proficiency_Level
S001,Data Analysis,83,83,65,170,96,5,Analytics,Advanced
S001,Tableau,42,48,78,160,98,29,Visualization,Beginner
S001,Computer Vision,53,90,57,63,83,27,AI,Intermediate
S001,Cloud Computing,86,63,51,22,91,12,Cloud,Advanced
S001,Statistics,92,97,75,95,81,17,Analytics,Advanced
S001,NLP,60,71,77,183,66,26,AI,Intermediate
S001,Excel,92,93,100,24,100,23,Visualization,Advanced
S001,SQL,69,80,91,142,67,25,Database,Intermediate
S001,Linux,89,42,78,62,68,17,Tools,Advanced
S001,Machine Learning,93,80,97,67,91,15,AI,Advanced
S002,Python,49,80,78,166,95,3,Programming,Beginner
S002,Statistics,98,60,82,35,74,5,Analytics,Advanced
S002,Machine Learning,54,54,54,63,77,25,AI,Intermediate
S002,Algorithms,98,47,88,159,51,2,Programming,Advanced
S002,Web Development,68,70,94,108,87,28,Development,Intermediate
S002,Cloud Computing,93,96,78,122,74,21,Cloud,Advanced
S002,NLP,90,81,84,173,76,30,AI,Advanced
S002,Power BI,55,52,88,37,93,5,Visualization,Intermediate
S002,Linux,55,72,77,72,65,14,Tools,Intermediate
S002,Data Structures,99,73,68,142,80,3,Programming,Advanced
S003,Machine Learning,59,47,57,143,92,25,AI,Intermediate
S003,Data Analysis,57,43,74,106,95,5,Analytics,Intermediate
S003,Python,91,88,75,32,63,25,Programming,Advanced
S003,Power BI,53,98,99,33,81,21,Visualization,Intermediate
S003,Cyber Security,75,92,93,143,100,15,Security,Advanced
S003,Statistics,87,61,95,83,60,8,Analytics,Advanced
S003,Deep Learning,75,91,81,171,50,14,AI,Advanced
S003,Excel,96,55,91,59,87,8,Visualization,Advanced
S003,Algorithms,41,93,57,154,91,10,Programming,Beginner
S003,Computer Vision,91,98,89,53,64,5,AI,Advanced
S004,Excel,99,97,70,73,67,4,Visualization,Advanced
S004,Cyber Security,95,94,89,59,95,27,Security,Advanced
S004,Python,48,100,95,48,71,24,Programming,Beginner
S004,Git,84,51,57,70,90,4,Tools,Advanced
S004,Web Development,96,99,65,80,75,6,Development,Advanced
S004,Machine Learning,83,80,84,72,100,5,AI,Advanced
S004,Statistics,87,48,71,64,73,13,Analytics,Advanced
S004,C++,56,53,90,13,66,6,Programming,Intermediate
S004,Data Analysis,54,56,92,101,57,1,Analytics,Intermediate
S004,Algorithms,85,66,97,140,93,21,Programming,Advanced
S005,Tableau,88,94,97,85,64,16,Visualization,Advanced
S005,Data Analysis,55,82,63,94,64,22,Analytics,Intermediate
S005,Git,77,86,81,187,50,4,Tools,Advanced
S005,Power BI,71,94,58,186,77,23,Visualization,Intermediate
S005,Python,58,96,95,54,92,26,Programming,Intermediate
S005,Deep Learning,94,63,76,143,63,1,AI,Advanced
S005,Statistics,85,88,51,163,94,26,Analytics,Advanced
S005,Computer Vision,56,46,62,110,92,28,AI,Intermediate
S005,Excel,78,95,54,156,66,16,Visualization,Advanced
S005,Machine Learning,70,54,82,91,52,12,AI,Intermediate
S006,Machine Learning,59,44,82,67,54,29,AI,Intermediate
S006,Power BI,89,75,67,133,60,22,Visualization,Advanced
S006,SQL,90,41,51,90,77,12,Database,Advanced
S006,Statistics,97,83,86,75,56,21,Analytics,Advanced
S006,Tableau,49,86,63,109,69,3,Visualization,Beginner
S006,Web Development,50,42,86,12,79,30,Development,Intermediate
S006,Data Structures,55,41,97,111,87,13,Programming,Intermediate
S006,Algorithms,47,76,77,25,95,23,Programming,Beginner
S006,C++,51,59,56,94,97,3,Programming,Intermediate
S006,NLP,74,47,98,85,76,16,AI,Intermediate
S007,Cyber Security,75,43,61,124,94,20,Security,Advanced
S007,Statistics,41,100,95,38,74,25,Analytics,Beginner
S007,C++,50,48,58,167,74,15,Programming,Intermediate
S007,Git,53,81,89,36,93,22,Tools,Intermediate
S007,Excel,62,70,58,46,97,29,Visualization,Intermediate
S007,NLP,67,99,79,188,72,26,AI,Intermediate
S007,Data Structures,62,94,90,64,90,25,Programming,Intermediate
S007,Deep Learning,60,59,87,153,90,21,AI,Intermediate
S007,Java,40,47,61,145,95,24,Programming,Beginner
S007,SQL,71,94,76,114,78,13,Database,Intermediate
S008,Tableau,53,74,54,118,61,14,Visualization,Intermediate
S008,Cloud Computing,64,72,78,165,58,13,Cloud,Intermediate
S008,Data Structures,61,81,61,136,55,7,Programming,Intermediate
S008,Deep Learning,42,72,83,29,81,23,AI,Beginner
S008,Cyber Security,40,47,95,24,86,15,Security,Beginner
S008,NLP,60,91,93,41,88,24,AI,Intermediate
S008,Excel,73,92,58,105,75,6,Visualization,Intermediate
S008,Java,53,47,93,44,85,28,Programming,Intermediate
S008,Machine Learning,95,75,99,195,57,14,AI,Advanced
S008,Python,54,84,70,197,93,29,Programming,Intermediate
S009,Git,81,58,71,158,94,15,Tools,Advanced
S009,Statistics,94,100,100,134,55,30,Analytics,Advanced
S009,Computer Vision,84,97,78,130,61,28,AI,Advanced
S009,Machine Learning,94,49,85,121,84,13,AI,Advanced
S009,Deep Learning,63,43,67,154,90,9,AI,Intermediate
S009,Data Structures,65,56,85,178,57,6,Programming,Intermediate
S009,Linux,58,73,98,72,86,19,Tools,Intermediate
S009,Java,54,43,84,87,81,19,Programming,Intermediate
S009,Web Development,74,43,87,129,75,2,Development,Intermediate
S009,SQL,99,87,75,104,72,22,Database,Advanced
S010,Linux,84,40,99,91,68,23,Tools,Advanced
S010,Deep Learning,77,93,86,81,55,4,AI,Advanced
S010,Cloud Computing,83,50,86,102,79,11,Cloud,Advanced
S010,Git,72,72,68,89,51,14,Tools,Intermediate
S010,Python,43,89,64,200,59,15,Programming,Beginner
S010,Web Development,96,51,81,153,57,30,Development,Advanced
S010,C++,85,68,67,110,63,8,Programming,Advanced
S010,Java,53,52,58,29,85,25,Programming,Intermediate
S010,Computer Vision,43,42,82,98,82,10,AI,Beginner
S010,Machine Learning,99,93,52,131,69,2,AI,Advanced
S011,Cloud Computing,98,45,76,22,79,12,Cloud,Advanced
S011,Power BI,68,83,71,149,58,29,Visualization,Intermediate
S011,Java,61,91,63,119,84,15,Programming,Intermediate
S011,C++,48,55,67,182,98,14,Programming,Beginner
S011,Computer Vision,52,66,50,154,85,23,AI,Intermediate
S011,Git,71,73,79,126,72,10,Tools,Intermediate
S011,Statistics,53,82,91,181,59,26,Analytics,Intermediate
S011,Data Structures,64,97,56,86,95,19,Programming,Intermediate
S011,Deep Learning,51,87,84,66,95,28,AI,Intermediate
S011,Cyber Security,56,52,53,82,69,26,Security,Intermediate
S012,Deep Learning,48,58,73,76,82,24,AI,Beginner
S012,Git,89,96,99,190,92,15,Tools,Advanced
S012,NLP,53,86,87,27,57,8,AI,Intermediate
S012,C++,55,56,78,132,99,24,Programming,Intermediate
S012,Java,85,51,94,181,71,15,Programming,Advanced
S012,Linux,51,72,76,67,58,17,Tools,Intermediate
S012,Power BI,66,51,76,46,74,11,Visualization,Intermediate
S012,Cyber Security,86,58,94,68,62,5,Security,Advanced
S012,Data Analysis,98,53,70,177,82,1,Analytics,Advanced
S012,Excel,57,77,65,117,86,30,Visualization,Intermediate
S013,Data Analysis,98,80,97,137,65,17,Analytics,Advanced
S013,NLP,90,70,94,73,80,23,AI,Advanced
S013,Computer Vision,55,73,53,185,98,27,AI,Intermediate
S013,Excel,95,59,71,76,75,16,Visualization,Advanced
S013,Python,46,56,71,160,85,22,Programming,Beginner
S013,C++,50,77,73,30,80,26,Programming,Intermediate
S013,Statistics,96,75,52,109,52,20,Analytics,Advanced
S013,Tableau,64,83,60,150,87,10,Visualization,Intermediate
S013,Git,96,52,59,198,90,22,Tools,Advanced
S013,Java,68,59,82,58,87,27,Programming,Intermediate
S014,Statistics,45,88,69,29,57,11,Analytics,Beginner
S014,SQL,65,95,88,174,76,22,Database,Intermediate
S014,NLP,61,100,57,164,90,21,AI,Intermediate
S014,Algorithms,43,95,86,51,67,15,Programming,Beginner
S014,Cyber Security,43,71,52,64,54,4,Security,Beginner
S014,Java,78,42,80,31,100,12,Programming,Advanced
S014,Machine Learning,81,82,69,38,85,16,AI,Advanced
S014,Data Structures,64,79,82,35,78,30,Programming,Intermediate
S014,Data Analysis,87,71,62,11,85,1,Analytics,Advanced
S014,Python,58,84,61,162,67,6,Programming,Intermediate
S015,Web Development,95,67,76,53,55,29,Development,Advanced
S015,SQL,40,41,58,161,96,13,Database,Beginner
S015,Cloud Computing,56,84,59,16,96,11,Cloud,Intermediate
S015,Statistics,91,85,80,23,76,8,Analytics,Advanced
S015,NLP,89,46,64,120,85,4,AI,Advanced
S015,Linux,56,87,85,104,76,14,Tools,Intermediate
S015,Cyber Security,57,48,59,166,96,24,Security,Intermediate
S015,Python,65,66,66,10,70,30,Programming,Intermediate
S015,Power BI,66,99,74,90,99,19,Visualization,Intermediate
S015,Tableau,87,66,74,20,88,20,Visualization,Advanced
S016,Tableau,93,54,55,90,52,24,Visualization,Advanced
